Date : 2025-11-16 11:22:34
Directory : d:\Mycodes\Gitrepos\javascript-algorithms
Total : 621 files,  47073 codes, 4544 comments, 9455 blanks, all 61072 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\best-time-to-buy-sell-stocks\peakvalleyBestTimeToBuySellStocks.js                 | JavaScript |         19 |         12 |          5 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\hanoi-tower\README.md                                                             | Markdown   |         21 |          0 |          9 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\hanoi-tower\__test__\hanoiTower.test.js                                           | JavaScript |         48 |          0 |         15 |         63 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\hanoi-tower\hanoiTower.js                                                         | JavaScript |         54 |         23 |          8 |         85 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\README.md                                                               | Markdown   |         94 |          0 |         35 |        129 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\__test__\backtrackingJumpGame.test.js                                   | JavaScript |         15 |          0 |          3 |         18 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\__test__\dpBottomUpJumpGame.test.js                                     | JavaScript |         15 |          0 |          3 |         18 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\__test__\dpTopDownJumpGame.test.js                                      | JavaScript |         15 |          0 |          3 |         18 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\__test__\greedyJumpGame.test.js                                         | JavaScript |         15 |          0 |          3 |         18 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\backtrackingJumpGame.js                                                 | JavaScript |         19 |         23 |          7 |         49 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\dpBottomUpJumpGame.js                                                   | JavaScript |         18 |         25 |          4 |         47 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\dpTopDownJumpGame.js                                                    | JavaScript |         37 |         34 |         10 |         81 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\jump-game\greedyJumpGame.js                                                       | JavaScript |         10 |         27 |          4 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\knight-tour\README.md                                                             | Markdown   |         24 |          0 |         10 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\knight-tour\__test__\knightTour.test.js                                           | JavaScript |         38 |          0 |          6 |         44 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\knight-tour\knightTour.js                                                         | JavaScript |         54 |         41 |         18 |        113 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\QueenPosition.js                                                         | JavaScript |         15 |         21 |          4 |         40 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\README.md                                                                | Markdown   |         95 |          0 |         23 |        118 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\__test__\QueensPosition.test.js                                          | JavaScript |         14 |          0 |          3 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\__test__\nQueens.test.js                                                 | JavaScript |         29 |          3 |          7 |         39 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\__test__\nQueensBitwise.test.js                                          | JavaScript |         13 |          0 |          2 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\nQueens.js                                                               | JavaScript |         45 |         42 |         17 |        104 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\n-queens\nQueensBitwise.js                                                        | JavaScript |         29 |         64 |          9 |        102 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\rain-terraces\README.md                                                           | Markdown   |         84 |          0 |         39 |        123 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\rain-terraces\__test__\bfRainTerraces.test.js                                     | JavaScript |         20 |          0 |          2 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\rain-terraces\__test__\dpRainTerraces.test.js                                     | JavaScript |         20 |          0 |          2 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\rain-terraces\bfRainTerraces.js                                                   | JavaScript |         18 |         11 |          5 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\rain-terraces\dpRainTerraces.js                                                   | JavaScript |         29 |         12 |          7 |         48 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\README.md                                                     | Markdown   |         13 |          0 |          9 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\__test__\recursiveStaircaseBF.test.js                         | JavaScript |         17 |          0 |          2 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\__test__\recursiveStaircaseDP.test.js                         | JavaScript |         17 |          0 |          2 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\__test__\recursiveStaircaseIT.test.js                         | JavaScript |         17 |          0 |          2 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\__test__\recursiveStaircaseMEM.test.js                        | JavaScript |         17 |          0 |          2 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\recursiveStaircaseBF.js                                       | JavaScript |         12 |         12 |          4 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\recursiveStaircaseDP.js                                       | JavaScript |         16 |         12 |          6 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\recursiveStaircaseIT.js                                       | JavaScript |         13 |         14 |          5 |         32 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\recursive-staircase\recursiveStaircaseMEM.js                                      | JavaScript |         20 |         17 |          8 |         45 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\square-matrix-rotation\README.md                                                  | Markdown   |         79 |          0 |         32 |        111 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\square-matrix-rotation\__test__\squareMatrixRotation.test.js                      | JavaScript |         47 |          0 |         13 |         60 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\square-matrix-rotation\squareMatrixRotation.js                                    | JavaScript |         26 |          8 |          4 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\README.md                                                            | Markdown   |         73 |          0 |         34 |        107 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\__test__\btUniquePaths.test.js                                       | JavaScript |         11 |          0 |          2 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\__test__\dpUniquePaths.test.js                                       | JavaScript |         11 |          0 |          2 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\__test__\uniquePaths.test.js                                         | JavaScript |         11 |          0 |          2 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\btUniquePaths.js                                                     | JavaScript |         25 |         24 |         10 |         59 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\dpUniquePaths.js                                                     | JavaScript |         20 |         17 |          4 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\uncategorized\unique-paths\uniquePaths.js                                                       | JavaScript |          6 |          5 |          3 |         14 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\bloom-filter\BloomFilter.js                                                                | JavaScript |         69 |         43 |         20 |        132 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\bloom-filter\README.md                                                                     | Markdown   |        101 |          0 |         33 |        134 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\bloom-filter\README.pt-BR.md                                                               | Markdown   |         97 |          0 |         33 |        130 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\bloom-filter\README.ru-RU.md                                                               | Markdown   |         41 |          0 |         15 |         56 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\bloom-filter\README.uk-UA.md                                                               | Markdown   |         40 |          0 |         15 |         55 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\bloom-filter\__test__\BloomFilter.test.js                                                  | JavaScript |         48 |          0 |         15 |         63 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\DisjointSet.js                                                                | JavaScript |         48 |         30 |         20 |         98 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\DisjointSetAdhoc.js                                                           | JavaScript |         28 |         43 |          8 |         79 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\DisjointSetItem.js                                                            | JavaScript |         46 |         36 |         15 |         97 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\README.md                                                                     | Markdown   |         20 |          0 |         11 |         31 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\README.pt-BR.md                                                               | Markdown   |         20 |          0 |          9 |         29 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\README.ru-RU.md                                                               | Markdown   |         15 |          0 |          7 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\README.uk-UA.md                                                               | Markdown   |         15 |          0 |          8 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\__test__\DisjointSet.test.js                                                  | JavaScript |         98 |          0 |         43 |        141 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\__test__\DisjointSetAdhoc.test.js                                             | JavaScript |         35 |          3 |         13 |         51 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\disjoint-set\__test__\DisjointSetItem.test.js                                              | JavaScript |         86 |          0 |         30 |        116 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\DoublyLinkedList.js                                                     | JavaScript |        140 |         70 |         54 |        264 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\DoublyLinkedListNode.js                                                 | JavaScript |         10 |          0 |          2 |         12 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.es-ES.md                                                         | Markdown   |         85 |          0 |         20 |        105 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.ja-JP.md                                                         | Markdown   |         79 |          0 |         19 |         98 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.ko-KR.md                                                         | Markdown   |         90 |          0 |         20 |        110 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.md                                                               | Markdown   |        100 |          0 |         20 |        120 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.pt-BR.md                                                         | Markdown   |         95 |          0 |         19 |        114 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.ru-RU.md                                                         | Markdown   |         92 |          0 |         19 |        111 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.uk-UA.md                                                         | Markdown   |         91 |          0 |         19 |        110 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\README.zh-CN.md                                                         | Markdown   |         80 |          0 |         22 |        102 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\__test__\DoublyLinkedList.test.js                                       | JavaScript |        203 |          3 |         75 |        281 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\doubly-linked-list\__test__\DoublyLinkedListNode.test.js                                   | JavaScript |         44 |          0 |         12 |         56 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\Graph.js                                                                             | JavaScript |        102 |         65 |         31 |        198 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\GraphEdge.js                                                                         | JavaScript |         21 |         14 |          6 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\GraphVertex.js                                                                       | JavaScript |         65 |         50 |         24 |        139 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\README.fr-FR.md                                                                      | Markdown   |         19 |          0 |          7 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\README.md                                                                            | Markdown   |         27 |          0 |          9 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\README.pt-BR.md                                                                      | Markdown   |         21 |          0 |          8 |         29 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\README.ru-RU.md                                                                      | Markdown   |         19 |          0 |          8 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\README.uk-UA.md                                                                      | Markdown   |         17 |          0 |          8 |         25 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\README.zh-CN.md                                                                      | Markdown   |         13 |          0 |         10 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\__test__\Graph.test.js                                                               | JavaScript |        297 |          0 |         92 |        389 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\__test__\GraphEdge.test.js                                                           | JavaScript |         34 |          0 |          9 |         43 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\graph\__test__\GraphVertex.test.js                                                         | JavaScript |        139 |          0 |         50 |        189 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\HashTable.js                                                                    | JavaScript |         54 |         52 |         16 |        122 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.fr-FR.md                                                                 | Markdown   |         23 |          0 |          9 |         32 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.ja-JP.md                                                                 | Markdown   |         10 |          0 |          9 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.ko-KR.md                                                                 | Markdown   |         17 |          0 |         11 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.md                                                                       | Markdown   |         28 |          0 |         10 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.pt-BR.md                                                                 | Markdown   |         19 |          0 |          9 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.ru-RU.md                                                                 | Markdown   |         18 |          0 |         12 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.uk-UA.md                                                                 | Markdown   |         18 |          0 |         12 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\README.zh-CN.md                                                                 | Markdown   |         14 |          0 |         12 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\hash-table\__test__\HashTable.test.js                                                      | JavaScript |         84 |          2 |         32 |        118 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\Heap.js                                                                               | JavaScript |        142 |        106 |         39 |        287 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\MaxHeap.js                                                                            | JavaScript |          6 |          9 |          2 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\MaxHeapAdhoc.js                                                                       | JavaScript |         91 |          6 |         19 |        116 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\MinHeap.js                                                                            | JavaScript |          6 |          9 |          2 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\MinHeapAdhoc.js                                                                       | JavaScript |         93 |          6 |         19 |        118 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.fr-FR.md                                                                       | Markdown   |         12 |          0 |         11 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.ja-JP.md                                                                       | Markdown   |         12 |          0 |         11 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.ko-KR.md                                                                       | Markdown   |         12 |          0 |         12 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.md                                                                             | Markdown   |         50 |          0 |         20 |         70 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.pt-BR.md                                                                       | Markdown   |         15 |          0 |         11 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.ru-RU.md                                                                       | Markdown   |         16 |          0 |         11 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.tr-TR.md                                                                       | Markdown   |         12 |          0 |         11 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.uk-UA.md                                                                       | Markdown   |         15 |          0 |         11 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\README.zh-CN.md                                                                       | Markdown   |         12 |          0 |         12 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\__test__\Heap.test.js                                                                 | JavaScript |         10 |          0 |          3 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\__test__\MaxHeap.test.js                                                              | JavaScript |        131 |          0 |         42 |        173 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\__test__\MaxHeapAdhoc.test.js                                                         | JavaScript |         66 |          0 |         26 |         92 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\__test__\MinHeap.test.js                                                              | JavaScript |        148 |          0 |         47 |        195 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\heap\__test__\MinHeapAdhoc.test.js                                                         | JavaScript |         66 |          0 |         26 |         92 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\LinkedList.js                                                                  | JavaScript |        158 |         66 |         49 |        273 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\LinkedListNode.js                                                              | JavaScript |          9 |          0 |          2 |         11 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.es-ES.md                                                                | Markdown   |        142 |          0 |         24 |        166 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.ja-JP.md                                                                | Markdown   |        121 |          0 |         23 |        144 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.ko-KR.md                                                                | Markdown   |        128 |          0 |         24 |        152 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.md                                                                      | Markdown   |        147 |          0 |         24 |        171 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.pt-BR.md                                                                | Markdown   |        136 |          0 |         24 |        160 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.ru-RU.md                                                                | Markdown   |        123 |          0 |         25 |        148 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.tr-TR.md                                                                | Markdown   |        137 |          0 |         25 |        162 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.uk-UA.md                                                                | Markdown   |        123 |          0 |         25 |        148 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.vi-VN.md                                                                | Markdown   |        135 |          0 |         21 |        156 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\README.zh-CN.md                                                                | Markdown   |        124 |          0 |         26 |        150 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\__test__\LinkedList.test.js                                                    | JavaScript |        203 |          3 |         77 |        283 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\linked-list\__test__\LinkedListNode.test.js                                                | JavaScript |         35 |          0 |         12 |         47 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\lru-cache\LRUCache.js                                                                      | JavaScript |         81 |         56 |         17 |        154 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\lru-cache\LRUCacheOnMap.js                                                                 | JavaScript |         24 |         25 |          5 |         54 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\lru-cache\README.ko-KR.md                                                                  | Markdown   |         30 |          0 |         22 |         52 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\lru-cache\README.md                                                                        | Markdown   |         32 |          0 |         23 |         55 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\lru-cache\__test__\LRUCache.test.js                                                        | JavaScript |        123 |          0 |         28 |        151 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\lru-cache\__test__\LRUCacheOnMap.test.js                                                   | JavaScript |        121 |          0 |         28 |        149 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\PriorityQueue.js                                                            | JavaScript |         42 |         46 |         11 |         99 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.fr-FR.md                                                             | Markdown   |         18 |          0 |          5 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.ja-JP.md                                                             | Markdown   |          6 |          0 |          5 |         11 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.ko-KR.md                                                             | Markdown   |          8 |          0 |          5 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.md                                                                   | Markdown   |         24 |          0 |          6 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.pt-BR.md                                                             | Markdown   |         18 |          0 |          6 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.ru-RU.md                                                             | Markdown   |         16 |          0 |          7 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.uk-UA.md                                                             | Markdown   |         15 |          0 |          7 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\README.zh-CN.md                                                             | Markdown   |          8 |          0 |          8 |         16 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\priority-queue\__test__\PriorityQueue.test.js                                              | JavaScript |         92 |          0 |         33 |        125 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\Queue.js                                                                             | JavaScript |         25 |         26 |          8 |         59 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.fr-FR.md                                                                      | Markdown   |         23 |          0 |          8 |         31 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.ja-JP.md                                                                      | Markdown   |          8 |          0 |          7 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.ko-KR.md                                                                      | Markdown   |         15 |          0 |          9 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.md                                                                            | Markdown   |         30 |          0 |          8 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.pt-BR.md                                                                      | Markdown   |         21 |          0 |         10 |         31 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.ru-RU.md                                                                      | Markdown   |         15 |          0 |          7 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.uk-UA.md                                                                      | Markdown   |         15 |          0 |          7 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.vi-VN.md                                                                      | Markdown   |         15 |          0 |          8 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\README.zh-CN.md                                                                      | Markdown   |          9 |          0 |          9 |         18 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\queue\__test__\Queue.test.js                                                               | JavaScript |         46 |          0 |         20 |         66 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.fr-FR.md                                                                      | Markdown   |         22 |          0 |          9 |         31 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.ja-JP.md                                                                      | Markdown   |         11 |          0 |          9 |         20 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.ko-KR.md                                                                      | Markdown   |         17 |          0 |         10 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.md                                                                            | Markdown   |         27 |          0 |         10 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.pt-BR.md                                                                      | Markdown   |         20 |          0 |          9 |         29 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.ru-RU.md                                                                      | Markdown   |         16 |          0 |         10 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.uk-UA.md                                                                      | Markdown   |         16 |          0 |         10 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.vi-VN.md                                                                      | Markdown   |         19 |          0 |          9 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\README.zh-CN.md                                                                      | Markdown   |         13 |          0 |         11 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\Stack.js                                                                             | JavaScript |         30 |         29 |          9 |         68 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\stack\__test__\Stack.test.js                                                               | JavaScript |         54 |          0 |         24 |         78 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\BinaryTreeNode.js                                                                     | JavaScript |        113 |         68 |         39 |        220 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\README.md                                                                             | Markdown   |         28 |          0 |         10 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\README.pt-BR.md                                                                       | Markdown   |         24 |          0 |          9 |         33 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\README.zh-CN.md                                                                       | Markdown   |         17 |          0 |         10 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\__test__\BinaryTreeNode.test.js                                                       | JavaScript |        214 |          0 |         84 |        298 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\avl-tree\AvlTree.js                                                                   | JavaScript |         82 |         56 |         26 |        164 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\avl-tree\README.md                                                                    | Markdown   |         34 |          0 |         18 |         52 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\avl-tree\README.pt-BR.md                                                              | Markdown   |         33 |          0 |         18 |         51 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\data-structures\tree\avl-tree\__test__\AvlTRee.test.js                                                     | JavaScript |        226 |          2 |         76 |        304 |
